word,wordtype,meaning
ಗೆಣೆಕಾರ,ಹೆಸರುಪದ,"೧ ಗೆಳೆಯ, ಸ್ನೇಹಿತ ೨ ನಲ್ಲ, ಇನಿಯ ೩ ವಿಟ, ಜಾರ"
ಗೆಣೆಯ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಜೊತೆಗಾರ, ಸ್ನೇಹಿತ ೨ ವಿಟ, ಜಾರ"
ಗೆಣ್ಣು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕಟ್ಟು, ಬಿದಿರು ಮೊ. ವುಗಳ, ಗಂಟು, ಪರ್ವ ೨ ಬೆರಳುಗಳ ಗಂಟು"
ಗೆಪ್ಪೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಆಸ್ತಿ, ಐಶ್ವರ್ಯ ೨ ಗಿಡವನ್ನು ಕೀಳುವಾಗ ಬೇರಿಗೆ ಅಂಟಿಕೊಂಡಿರುವ ಮಣ್ಣಿನ ಭಾಗ, ಹೆಂಟೆ"
ಗೆಬರು,ಎಸಕಪದ,"(ದೇ) ಗೀರು, ಪರಚು"
ಗೆಯ್ತ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕೆಲಸ, ಕಾರ್ಯ ೨ ಚೇಷ್ಟೆ ೩ ಮೋಸ, ವಂಚನೆ"
ಗೆರಟೆ,ಹೆಸರುಪದ,"(ದೇ) ತೆಂಗಿನ ಚಿಪ್ಪು, ಕರಟ"
ಗೆರಿಲ್ಲಾ,ಹೆಸರುಪದ,"ಯುದ್ಧ (<ಇಂ. guerilla war / ಸ್ಪ್ಯಾ. guerra) ಮೈಮರೆತ ಶತ್ರುವಿನ ಮೇಲೆ ಆಕಸ್ಮಿಕವಾಗಿ ದಾಳಿ ನಡೆಸಿ ಮಾಡುವ ಯುದ್ಧ, ಕಪಟ ಯುದ್ಧ"
ಗೆರೆ,ಹೆಸರುಪದ,"(ದೇ) ಗೀಟು, ರೇಖೆ"
ಗೆರೆದಾಟು,ಎಸಕಪದ,"= ಮಾತು ಮೀರು, ಎಲ್ಲೆ ಮೀರು"
ಗೆಲ್ಲು,ಹೆಸರುಪದ,"(ದೇ) ೧ ವಿಜಯ, ಗೆಲುವು ೨ ಕೊಂಬೆ, ರೆಂಬೆ"
ಗೆಲ್ಲು,ಎಸಕಪದ,"(ದೇ) ಜಯಿಸು, ಸಾಧಿಸು"
ಗೇಣಿ,ಹೆಸರುಪದ,"(ದೇ) ಗುತ್ತಿಗೆ, ಒಪ್ಪಂದ"
ಗೇಣ್(ಣು),ಹೆಸರುಪದ,"(ದೇ) ೧ ಒಂಬತ್ತು ಅಂಗುಲಗಳ ಅಳತೆ ೨ ಸಣ್ಣ ಕತ್ತಿ, ಕಠಾರಿ"
ಗೇಬೆ,ಹೆಸರುಪದ,"(ದೇ) (ರೋಗದಿಂದ ಶರೀರವು) ಊದಿಕೊಂಡಿರುವಿಕೆ, ಊತ, ಬಾವು"
ಗೇಯ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಹಾಡುವಿಕೆ, ಗಾಯನ ೨ (ಛಂದ ಸ್ಸಿನಲ್ಲಿ) ಅಕ್ಷರ ಛಂದಸ್ಸಿನ ಒಂದು ವೃತ್ತ"
ಗೇಯ,ಪರಿಚೆಪದ,(ಸಂ) ಹಾಡತಕ್ಕ
ಗೇರಿ,ಹೆಸರುಪದ,"(<ಮರಾ. ಘೇರಿ) ತಲೆಸುತ್ತುವಿಕೆ, ತಿರುಗುವಿಕೆ"
ಗೇರುಕುಕ್ಕೆ,ಹೆಸರುಪದ,(ದೇ) ಗೇರೆಣ್ಣೆ ಬಳಿದು ಸೋರದಂತೆ ಮಾಡಿದ ಬುಟ್ಟಿ
ಗೇರೆ,ಹೆಸರುಪದ,"(<ದೇ. ಕೇರು, <ಕೇರ್) ಬೇಲಿ, ಆವರಣ"
ಗೇಲಿ,ಹೆಸರುಪದ,"(ದೇ) ತಮಾಷೆ, ಲೇವಡಿ, ಅಪಹಾಸ್ಯ"
ಗೇಹ,ಹೆಸರುಪದ,"(ಸಂ) ವಾಸಸ್ಥಳ, ಮನೆ"
ಗೈರತ್ತು,ಹೆಸರುಪದ,"(ಅರ. ಪಾರ.) ಶಕ್ತಿ, ಸಾಮರ್ಥ್ಯ"
ಗೈರು,ಹೆಸರುಪದ,"(<ಅರ. ಮರಾ. ಹಿಂ. ಗೈರ್) ೧ ಅಭಾವ ಇಲ್ಲದಿರುವುದು ೨ ತಪ್ಪು, ಅಪರಾಧ"
ಗೊಂಕರು,ಪರಿಚೆಪದ,(ದೇ) ದೊಡ್ಡ ಗಾತ್ರದ
ಗೊಂಕೆ,ಹೆಸರುಪದ,"(ದೇ) ಕೊರಳು, ಕುತ್ತಿಗೆ"
ಗೊಂಗಡಿ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕಂಬಳಿ ೨ ಕಂಬಳಿ, ಗೋಣಿ ಚೀಲ ಮೊ.ವುಗಳಿಂದ ಮಾಡಿದ ತಲೆ ಬೆನ್ನುಗಳನ್ನು ಮುಚ್ಚಲು ಧರಿಸುವ ಗೊಪ್ಪೆ ೩ ಚೆನ್ನಾಗಿರುವ ಮತ್ತು ಉದ್ದವಾಗಿರುವ ಹುಣಿಸೆಹಣ್ಣು"
ಗೊಂಚಲು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕುಚ್ಚು, ಗುಚ್ಛ ೨ ಸಮೂಹ, ರಾಶಿ"
ಗೊಂಚುಗಾರ,ಹೆಸರುಪದ,"(ದೇ) ಊರಿನ ಮುಖಂಡ, ಮುಖ್ಯಸ್ಥ, ನಾಯಕ"
ಗೊಂಟು,ಹೆಸರುಪದ,"(ದೇ) ೧ ದಿಕ್ಕು, ದಿಶೆ ೨ ಮೂಲೆ, ಕೋನ"
ಗೊಂಡ(ಗೋಂಡ),ಹೆಸರುಪದ,"(ಪ್ರಾ) ೧ ಊರಿನ ಮುಖ್ಯಸ್ಥ, ಪಟೇಲ ೨ ವಿಂಧ್ಯ ಪರ್ವತದ ಬಳಿಯಲ್ಲಿ ವಾಸಿಸುವ ಒಂದು ಜನಾಂಗ ಮತ್ತು ಆ ಜನಾಂಗದ ವ್ಯಕ್ತಿ ೩ ಹಾಡುವುದರಲ್ಲಿ ಒಂದು ರೀತಿ, ಕ್ರಮ"
ಗೊಂಡಾರಣ್ಯ,ಹೆಸರುಪದ,(<ಗೊಂಡ + ಸಂ. ಅರಣ್ಯ) ೧ ವಿಂಧ್ಯಾದ್ರಿಯ ಬಳಿಯಿರುವ ಕಾಡು ೨ ದಟ್ಟವಾದ ಕಾಡು
ಗೊಂತು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಆಶ್ರಯ ಸ್ಥಾನ, ನೆಲೆ ೨ ನಿಶ್ಚಿತ ಸ್ಥಳ, ಕ್ಲುಪ್ತ ಜಾಗ ೩ ಗುರಿ, ಈಡು ೪ ದನಕರುಗಳಿಗೆ ಹುಲ್ಲು ಹಾಕಲು ಕೊಟ್ಟಿಗೆಯಲ್ಲಿ ಕಟ್ಟೆಕಟ್ಟಿ ಮಾಡಿರುವ ಸ್ಥಳ, ಗೋದಲೆ ೫ ಕುರುಹು, ಗುರುತು ೬ ನದಿಯ ಆಳವಾದ ಜಾಗ, ಮಡು ೭ ದನಕರುಗಳನ್ನು ಕಟ್ಟುವ ಗೂಟ"
ಗೊಂದಣ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಗುಂಪು, ಹಿಂಡು ೨ ಸಾಮೂಹಿಕ ನೃತ್ಯ, ನಾಟ್ಯ ೩ ಗಲಿಬಿಲಿ, ಗೋಜು"
ಗೊಂದಲ,ಹೆಸರುಪದ,"(<ಮರಾ. ಗೋಂದಳ) ಗಲಾಟೆ, ಗದ್ದಲ"
ಗೊಂದಿ,ಹೆಸರುಪದ,"(ದೇ) ಇಕ್ಕಟ್ಟು, ಇಡುಕು"
ಗೊಂದೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಎತ್ತು, ಬಸವ ೨ ಗೊಂದಿ"
ಗೊಂಬೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಬೊಂಬೆ, ವಿಗ್ರಹ ೨ ಕಣ್ಣಿನ ಗುಡ್ಡೆ, ಪಾಪೆ"
ಗೊಂಬೆಯಾಟ,ಹೆಸರುಪದ,ಸೂತ್ರದ ಬೊಂಬೆ ಆಟ
ಗೊಜಗು,ಹೆಸರುಪದ,"(ದೇ) ಅಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡುವಿಕೆ, ಗಳಹುವಿಕೆ"
ಗೊಜಗು,ಎಸಕಪದ,(ದೇ) ಅಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡು
ಗೊಜ್ಜಲು,ಹೆಸರುಪದ,"(ದೇ) ಕೆಸರು, ಕೊಚ್ಚೆ"
ಗೊಜ್ಜು,ಹೆಸರುಪದ,"(<ದೇ. ಕೊಚ್ಚು) ೧ ಒಂದು ಬಗೆಯ ಮೇಲೋಗರ ೨ ಯಾವುದಾದರೂ ಕಲ್ಕ (ಮಂದವಾದ ದ್ರವ)ದಂತೆ ಮಾಡಿದ ಪದಾರ್ಥ ೩ ಆಮ್ಲತೆ, ಹುಳಿ"
ಗೊಜ್ಜು,ಎಸಕಪದ,"(<ದೇ. ಕೊಚ್ಚು) ಎರಚು, ಸುರಿ, ಚಿಮುಕಿಸು"
ಗೊಟರು(ರೆ),ಹೆಸರುಪದ,"(ದೇ) ತೂತು, ಪೊಟರೆ, ಬಿಲ"
ಗೊಟಾಯಿಸು,ಎಸಕಪದ,"(ದೇ) ತಿರುವು, ಬೆರಸು"
ಗೊಟ್ಟ,ಹೆಸರುಪದ,"(ದೇ) ೧ ದನಕರುಗಳ ಕೊಟ್ಟಿಗೆ, ಹಟ್ಟಿ ೨ ದನಕರುಗಳಿಗೆ ಔಷಧಿ ಮುಂ.ವನ್ನು ಕುಡಿಸಲು ಬಳಸುವ ಬಿದಿರಿನ ಕೊಳವೆ ೩ ನೆಲೆಮನೆ, ವಾಸಸ್ಥಾನ ೪ ಗೊರಟೆ, ಓಟೆ ೫ ಅಭಾವ, ಬರ ೬ ಒಂದು ಬಗೆಯ ಔಷಧೀ ಸಸ್ಯ"
ಗೊಟ್ಟಿ,ಹೆಸರುಪದ,"(<ಸಂ. ಗೋಷ್ಠಿ) ೧ ಜೊತೆ, ಒಡನಾಟ ೨ ಕೂಟ, ಸಭೆ ೩ ಮಾತುಕತೆ, ಸಲ್ಲಾಪ"
ಗೊಟ್ಟಿಗಾಣ,ಹೆಸರುಪದ,"೧ ಮೇಳಸಂಗೀತ, ಗೋಷ್ಠಿಗಾನ ೨ ಗೋಷ್ಠಿಗಾನದಲ್ಲಿ ಭಾಗವಹಿಸುವವನು"
ಗೊಟ್ಟಿಗೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಸಭೆ, ಗೋಷ್ಠಿ ೨ ಒಂದು ಬಗೆಯ ಆಟ ೩ ಹೆಣ್ಣು ಕುದುರೆ"
ಗೊಟ್ಟು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಮೋಸ, ಕಪಟ ೨ ಬರ, ಕ್ಷಾಮ"
ಗೊಟ್ಟುಗಟ್ಟು,ಎಸಕಪದ,"(ದೇ) ಒಣಗಿಹೋಗು, ಕಮರು, ಇಂಗು"
ಗೊಡಗು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಬಾವಿಯ ಯಾ ಹಗೇವಿನ ಒಳಗೆ ಆಗಿರುವ ಡೊಗರು ೨ ಬಗ್ಗಡ, ರಾಡಿ, ಕೆಸರು"
ಗೊಡವೆ,ಹೆಸರುಪದ,"(ದೇ) ತಂಟೆ, ಗೋಜು, ಉಸಾಬರಿ"
ಗೊಡ್ಡ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಮೋಸ, ಕಪಟ ೨ ಉಪಟಳ, ತೊಂದರೆ ೩ ಪ್ರಯೋಜನವಿಲ್ಲದವನು, ಕೈಲಾಗದವನು, ನಿಷ್ಪ್ರಯೋಜಕ, ನೀರಿಲ್ಲದವನು, ವಿದ್ರತ"
ಗೊಡ್ಡಾಚಾರ,ಹೆಸರುಪದ,"ಕಂದಾಚಾರ, ವ್ಯರ್ಥ ಸಂಪ್ರದಾಯ"
ಗೊಡ್ಡಿ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಮಕ್ಕಳಿಲ್ಲದವಳು, ಬಂಜೆ ೨ ಅಸಮರ್ಥ ೩ ವಿದೂಷಕ, ಕೋಡಂಗಿ"
ಗೊಡ್ಡು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಗಬ್ಬವಾಗದ ಹಸು, ಎಮ್ಮೆ ಮುಂ.ವು ೨ ಬಂಜೆ, ಗೊಡ್ಡಿ ೩ ಮೋಸ, ವಂಚನೆ ೪ ನಿಷ್ಫಲತೆ, ಅಂತಸ್ಸಾರವಿಲ್ಲದಿರುವುದು ೫ ಹುಸಿ, ಸುಳ್ಳು ೬ ಕಂದಾಚಾರದಲ್ಲಿ ನಿಷ್ಠನಾದ ವ್ಯಕ್ತಿ"
ಗೊಡ್ಡುನಂಬಿಕೆ,ಹೆಸರುಪದ,"ಮೂಢನಂಬಿಕೆ, ಕುರುಡು ನಂಬಿಕೆ"
ಗೊಡ್ಡುಸಾರು,ಹೆಸರುಪದ,"ಬೇಳೆ ಹಾಕದೆ ಮಾಡಿದ ಸಾರು, ಹುಣಿಸೆ ಸಾರು"
ಗೊಣಗು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಗೊಣಗಾಡುವಿಕೆ, ಅಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡುವಿಕೆ ೨ ಆಕ್ಷೇಪ, ತಕರಾರು ೩ ಒಂದು ಬಗೆಯ ಸಸ್ಯ"
ಗೊಣಗು,ಎಸಕಪದ,"(ದೇ) ೧ ಅಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡು ೨ ಅಸಮಾಧಾನದಿಂದ ತನ್ನಲ್ಲೇ ಮಾತನಾಡಿಕೊಳ್ಳು, ವಟಗುಡು"
ಗೊಣಸು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕೊಂಡಿ, ಸರಪಣಿಯ ಕುಣಿಕೆ ೨ ಹಸು, ಎತ್ತು ಮುಂ.ವುಗಳ ಕೊರಳಿನ ಆಭರಣ ೩ ಕುಣಿಕೆಯಂತಹ ರಚನೆಯ ಒಂದು ಆಭರಣ"
ಗೊಣೆ,ಹೆಸರುಪದ,"(ದೇ) ಬಿಲ್ಲನ ಹೆದೆ, ಮೌರ್ವಿ"
ಗೊಣ್ಣೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಸಿಂಬಳ ೨ ಶಾಯಿಯ ಕರೆ, ಗುರುತು"
ಗೊತ್ತು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಆಶ್ರಯ ಸ್ಥಾನ, ನೆಲೆ ೨ ನಿಶ್ಚಿತ ಸ್ಥಳ, ಕ್ಲುಪ್ತ ಜಾಗ ೩ ಗುರಿ, ಈಡು ೪ ದನಕರುಗಳನ್ನು ಕಟ್ಟುವ ಸ್ಥಳ ೫ ದನಕರುಗಳಿಗೆ ಹುಲ್ಲು ಹಾಕಲು ಮಾಡಿರುವ ಜಾಗ, ಗೋದಲೆ ೬ ಮೇರೆ, ಎಲ್ಲೆ ೭ ನಿಬಂಧನೆ, ನಿಯಮ ೮ ತಿಳಿದಿದು, ವಿದಿ ತವಾದುದು, ಅರಿವಾದುದು ೯ ಪರಿಚಯ, ಮಾಹಿತಿ ೧೦ ಚಿಹ್ನೆ, ಕುರುಹು ೧೧ ಕೀರ್ತಿ, ಖ್ಯಾತಿ"
ಗೊತ್ತುಗುರಿ,ಹೆಸರುಪದ,"ಸ್ಥಿರವಾದ ಉದ್ದೇಶ, ಧ್ಯೇಯ"
ಗೊತ್ತುಪಾಡು,ಹೆಸರುಪದ,"ಏರ್ಪಾಡು, ವ್ಯವಸ್ಥೆ"
ಗೊತ್ತುವಳಿ,ಹೆಸರುಪದ,"ಠರಾವು, ನಿರ್ಣಯ"
ಗೊದಮೊಟ್ಟೆ,ಹೆಸರುಪದ,(ದೇ) ೧ ಬಾಲವುಳ್ಳ ಮರಿಗಪ್ಪೆ ೨ ತೆಂಗಿನಗರಿಯ ಬುಡದ ತುಂಡು
ಗೊನೆ,ಹೆಸರುಪದ,"(<ಕೊನೆ) ೧ ತುದಿ, ಅಗ್ರಭಾಗ ೨ ಹೂವು, ಹಣ್ಣು ಮುಂ. ವುಗಳ ಗೊಂಚಲು, ಗುಚ್ಛ"
ಗೊನೆ,ಎಸಕಪದ,"(<ಕೊನೆ) ಬಿಂಕಗೊಳ್ಳು, ಗರ್ವಿಸು"
ಗೊನೆಹ,ಹೆಸರುಪದ,"(ಕೊನೆಹ) ೧ಬಿಂಕ, ಗರ್ವ ೨ ಬಯಕೆ, ಆಸೆ, ಅಪೇಕ್ಷೆ"
ಗೊಪೆ,ಹೆಸರುಪದ,"(<ಸಂ. ಗೌಪ್ಯ) ೧ ಸಮಾಧಿ ಸ್ಥಳ, ಗೋರಿ ೨ ಗೋಪ್ಯ ಸ್ಥಳ, ರಹಸ್ಯ ಜಾಗ"
ಗೊಪ್ಪೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಮಳೆಗಾಲದಲ್ಲಿ ಕಂಬಳಿ ಮುಂ. ವುಗಳಿಂದ ತಲೆಗೆ ಮಾಡಿಕೊಳ್ಳುವ ಗವುಸು, ಗೊರಗು ೨ ಸಮಾಧಿ ಸ್ಥಳ, ಗೋರಿ"
ಗೊಬ್ಬರ,ಹೆಸರುಪದ,"(<ಮರಾ. ಗೋವರ್) ಒಂದು ಬಗೆಯ ಅಂಟುರೋಗ, ದಡಾರ; (ದೇ) ೧ ಜಾನುವಾರುಗಳ ಸಗಣಿ, ಎಲೆ ಮುಂ.ವುಗಳ ಮಿಶ್ರಣ ೨ ಒಣಗಿದ ಸಗಣಿ, ಬೆರಣಿ ೩ ಕಸ, ಕೆಲಸಕ್ಕೆ ಬಾರದ ವಸ್ತು"
ಗೊಬ್ಬೆ,ಹೆಸರುಪದ,(ದೇ) ಈಚಲು ಮೊ. ಮರಗಳಿಗೆ ಕಳ್ಳನ್ನು ಇಳಿಸಲು ಕಟ್ಟುವ ಗಡಿಗೆ
ಗೊಮ್ಮಟ,ಹೆಸರುಪದ,"(<ಮರಾ. ಗೋಮಟಾ) ೧ ಚೆಲುವ, ಸುಂದರ ೨ ಕಾಮ ದೇವರಲ್ಲಿ ಮೊದಲನೆಯವನು, ಬಾಹುಬಲಿ"
ಗೊರಗು,ಹೆಸರುಪದ,(ದೇ) ೧ ತಲೆ ಮೇಲೆ ಮತ್ತು ಬೆನ್ನಿನ ಮೇಲೆ ಮಳೆನೀರು ಬೀಳದಂತೆ ಹಾಕಿಕೊಳ್ಳುವ ಮುಸುಕು ೨ ಒಂದು ಬಗೆಯ ಮರ
ಗೊರಟ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಮಾವು ಮೊ. ಹಣ್ಣುಗಳ ಓಟೆ ೨ ಗಟ್ಟಿಯಾದುದು, ಒರಟಾದುದು ೩ ನಿಸ್ಸಾರ ಪದಾರ್ಥ, ಬೆಲೆಯಿಲ್ಲದ ವಸ್ತು"
ಗೊರಬು,ಹೆಸರುಪದ,(ದೇ) ತಲೆ ಹಾಗೂ ಬೆನ್ನಿನ ಮೇಲೆ ಮಳೆನೀರು ಬೀಳದಂತೆ ಹಾಕಿಕೊಳ್ಳುವ ಮುಸುಕು
ಗೊರವ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಸಂನ್ಯಾಸಿ, ತಪಸ್ವಿ ೨ ತಿರುಕ, ಭಿಕ್ಷುಕ ೩ ಶಿವ ೪ ಶಿವಭಕ್ತ, ಶರಣ ೫ ಮೈಲಾರ ದೇವರ ಭಕ್ತ ೬ ಒಂದು ಬಗೆಯ ಹಕ್ಕಿ, ಮೈನಾ ಹಕ್ಕಿ ೭ ಗುಡಿಗಳ ಪರಿಚಾರಕದಲ್ಲಿ ಒಂದು ಪಂಗಡ"
ಗೊರಸು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಪ್ರಾಣಿಗಳ ಕೊಳಗು, ಖುರ ೨ ಒಂದು ಬಗೆಯ ಹುಲ್ಲು"
ಗೊಲೆ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕೊನೆ, ತುದಿ ೨ ಬಿಲ್ಲಿನ ತುದಿ, ಕೊಪ್ಪು ೩ ಹೂವು, ಹಣ್ಣು ಮುಂ. ವುಗಳ ಗೊಂಚಲು"
ಗೊಲ್ಲ,ಹೆಸರುಪದ,"(ದೇ) ೧ ಖಜಾನೆಯಲ್ಲಿ ನಾಣ್ಯ ಪರೀಕ್ಷಕನಾದ ಸಫಾರನ ಸಹಾಯಕ ೨ ಬಾಗಿಲು ಕಾಯುವ ಸೇವಕ ೩ ದನಕರುಗಳನ್ನು ಕಾಯುವವನು, ಗೋಪಾಲಕ"
ಗೊಳಲು,ಹೆಸರುಪದ,"(ದೇ) ಧಾನ್ಯದ ಹೊಟ್ಟು, ಉಮಿ"
ಗೊಳಸು,ಹೆಸರುಪದ,"(ದೇ) (ಸರಪಣಿಯ) ಕುಣಿಕೆ, ಕೊಂಡಿ"
ಗೋ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಹಸು, ಆಕಳು ೨ ಎತ್ತು, ಗೂಳಿ ೩ ಆಕಾಶ ೪ ನೀರು ೫ ಕಿರಣ, ರಶ್ಮಿ ೬ ಸರಸ್ವತಿ ೭ ಕಣ್ಣು ೮ ಭೂಮಿ ೯ ಮಾತು ೧೦ ಮೈಗೂದಲು ೧೧ ವಜ್ರಾಯುಧ ೧೨ ಇಂದ್ರಿಯ"
ಗೋಕರ್ಣ,ಹೆಸರುಪದ,"೧ ಹಸುವಿನ ಕಿವಿ ೨ ಚಮರೀ ಮೃಗ ೩ ಹಾವು, ಸರ್ಪ ೪ ಅಗಲಿಸಿದ ಕೈಯ ಹೆಬ್ಬೆರಳಿನ ತುದಿಯಿಂದ ಕಿರುಬೆರಳಿನ ತುದಿಯವರೆಗಿನ ಅಳತೆ, ಒಂದು ಗೇಣು ೫ ಪಶ್ಚಿಮ ಕರಾವಳಿಯಲ್ಲಿರುವ ಒಂದು ಪ್ರಸಿದ್ಧ ಕ್ಷೇತ್ರ"
ಗೋಕುಲ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಗೋವುಗಳ ಹಿಂಡು ೨ ಕಿರಣಗಳ ಪುಂಜ
ಗೋಗರೆ,ಎಸಕಪದ,"(ದೇ) ದೈನ್ಯದಿಂದ ಬೇಡಿಕೊಳ್ಳು, ಮೊರೆಯಿಡು"
ಗೋಗ್ರಾಸ,ಹೆಸರುಪದ,"೧ ಹಸುವಿನ ಮೇವು ೨ ಹಸುವಿಗೆ ಸಲ್ಲಿಸುವ ಆಹಾರ, ನೈವೇದ್ಯ"
ಗೋಚರ,ಹೆಸರುಪದ,"ದನಕರುಗಳು ಮೇಯುವ ಸ್ಥಳ,"
ಗೋಚಿ,ಹೆಸರುಪದ,"(ದೇ) ಕೌಪೀನ, ಲಂಗೋಟಿ"
ಗೋಚು,ಹೆಸರುಪದ,"(ದೇ) ದೋಚುವವನು, ಸುಲಿಗೆ ಮಾಡುವವನು"
ಗೋಚು,ಎಸಕಪದ,"(ದೇ) ೧ ಗೋರು, ಬಳಿ ೨ ಸೆಳೆ, ಕಾಣಿಸಿಕೊಳ್ಳು"
ಗೋಜಲು,ಹೆಸರುಪದ,"(ದೇ) ಗಂಟು, ತೊಡಕು, ಸಿಕ್ಕು"
ಗೋಜು,ಹೆಸರುಪದ,"(ದೇ) ೧ ತೊಡಕು, ಸಿಕ್ಕು ೨ ತೊಂದರೆ, ಕಷ್ಟ ೩ ಗೊಡವೆ, ತಂಟೆ"
ಗೋಜು,ಎಸಕಪದ,"(ದೇ) (ದಾರದ ಎಳೆಗಳಂತೆ) ಸಿಕ್ಕಾಗು, ಗಂಟಾಗು"
ಗೋಟಡ(ಡಿ)ಕೆ,ಹೆಸರುಪದ,"(ದೇ) ಬಲಿತು ಹಣ್ಣಾದ ಗಟ್ಟಿ ಅಡಕೆ, ಒಣಗಿದ ಅಡಕೆ"
ಗೋಟು,ಹೆಸರುಪದ,"(ದೇ) ೧ ದಿಕ್ಕು, ದಿಶೆ ೨ ಮೂಲೆ, ಕೋನ ೩ ಅಂಚು, (ಸೀರೆ, ದೋತ್ರಗಳ) ದಡಿ ೪ ಬಲಿತು ಬಿರುಸಾದುದು ೫ ಗೋಟಡಿಕೆ ೬ ಕಠಿಣ ಳಾದವಳು ೭ ಮುದುಕಿ, ವೃದ್ಧೆ ೮ ಗುಂಡಾದುದು, ವರ್ತುಲ ೯ ಚಿನ್ನದ ಕೈಬಳೆ ೧೦ ಮರದ ಸೌಟು"
ಗೋಡು,ಹೆಸರುಪದ,"(ದೇ) ಮಣ್ಣು, ಕೆರೆ ಮುಂ. ವುಗಳಿಂದ ತೆಗೆದುಹಾಕಿರುವ ಸಾರವತ್ತಾದ ಹೂಳು ಮಣ್ಣು, ರೇವೆ ಮಣ್ಣು"
ಗೋಣಿ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಆಲದ ಜಾತಿಗೆ ಸೇರಿದ ಒಂದು ಬಗೆಯ ಮರ ೨ ಒಂದು ಬಗೆಯ ತರಕಾರಿ ಸೊಪ್ಪು ೩ ಗೋಣಿಯ ಹಣ್ಣಿನಂತೆ ಮೈಮೇಲೆ ಗುಳ್ಳೆಗಳಾಗುವ ಒಂದು ಬಗೆಯ ರೋಗ ೪ ಸೆಣಬು ೫ ಸೆಣಬಿನ ಚೀಲ ೬ ಸೆಣಬಿನ ಬಟ್ಟೆ, ತಟ್ಟು ೭ ಧಾನ್ಯದ ಒಂದು ಅಳತೆ ೮ ಹಂದಿ, ವರಾಹ"
ಗೋಣಿತಟ್ಟು,ಹೆಸರುಪದ,"೧ ಗೋಣಿಯ ಹಣ್ಣಿನಂತೆ ಮೈಮೇಲೆ ಗುಳ್ಳೆಗಳೇಳುವ ಒಂದು ಬಗೆಯ ರೋಗ, ದಡಾರ ೨ ಸೆಣಬಿನ ಬಟ್ಟೆ, ಗೋಣಿ ತಾಟು"
ಗೋಣುಹಾಕು,ಎಸಕಪದ,(ದೇ) ಸಮ್ಮತಿಯನ್ನು ಸೂಚಿಸಲು ತಲೆದೂಗು
ಗೋತ,ಹೆಸರುಪದ,"(<ಸಂ. ಗೋಮೂತ್ರ) ಗಂಜಲ; (ಅರ) ೧ ಲಾಗ, ಪಲ್ಟಿ ೨ (ಆಲಂ) ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೇರ್ಗಡೆಯಾಗದಿರುವಿಕೆ, ಅನುತ್ತೀರ್ಣತೆ"
ಗೋತಹೊಡೆ,ಎಸಕಪದ,"= ೧ ಲಾಗ ಹಾಕು, ಪಲ್ಟಿ ಹೊಡೆ ೨ ಸೋಲು, ಯಶಸ್ವಿಯಾಗದಿರು ೩ (ಆಲಂ) ಸಾಯು, ಮರಣಹೊಂದು"
ಗೋತ್ರ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ದನಕರುಗಳ ಮಂದೆ, ಗೋ ಸಮೂಹ ೨ ಕೊಟ್ಟಿಗೆ, ದೊಡ್ಡಿ ೩ ಭೂಮಿ, ಪೃ ೪ ಕುಲ, ವಂಶ ೫ ನಾಮಧೇಯ, ಹೆಸರು ೬ ಬೆಟ್ಟ, ಪರ್ವತ"
