word,wordtype,meaning
ಅಂಗುಲೀಯಕ,ಹೆಸರುಪದ,(ಸಂ) ಬೆರಳಿಗೆ ತೊಡುವ ಉಂಗುರ
ಅಂಗುಳು,ಹೆಸರುಪದ,"(ದೇ) ಬಾಯಿಯ ಅಟ್ಟ ಪ್ರದೇಶ, ತಾಲು"
ಅಂಗುಷ್ಠ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಪಾದದ ಹೆಬ್ಬೆರಳು, ಅಂಗುಟ ೨ ಹೆಬ್ಬೆರಳಿನ ಅಗಲದ ಅಳತೆ."
ಅಂಗೂಷ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಮುಂಗುಸಿ ೨ ಬಾಣ, ಶರ"
ಅಂಘ್ರಿ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಹೆಜ್ಜೆ, ಪಾದ ೨ ಬೇರು ೩ ಕಾಲು"
ಅಂಘ್ರಿಪ,ಹೆಸರುಪದ,"(ಸಂ) ಬೇರಿನಿಂದ ನೀರನ್ನು ಹೀರುವಂಥದು, ಮರ, ವೃಕ್ಷ, ತರು"
ಅಂಚಲ,ಹೆಸರುಪದ,"(ಸಂ) ಸೀರೆಯ ಸೆರಗು, ಹೊದೆಯುವ ಭಾಗ"
ಅಂಚು,ಹೆಸರುಪದ,"(<ಸಂ. ಅಂಶು) ೧ ಕೊನೆ, ತುದಿ ೨ ಸೀರೆ, ಧೋತ್ರಗಳ ದಡಿ"
ಅಂಚೆ,ಹೆಸರುಪದ,(<ಸಂ. ಹಂಸ) ಹಂಸ; (ದೇ) ಟಪಾಲು
ಅಂಡಜ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಮೊಟ್ಟೆಯಿಂದ ಹುಟ್ಟಿ ಬರುವ ಹಕ್ಕಿ, ಹಾವು, ಮೀನು, ಮುಂ. ಜೀವಿಗಳು ೨ ಬ್ರಹ್ಮ"
ಅಂಡಲೆ,ಹೆಸರುಪದ,(ದೇ) ೧ ಪೀಡೆ ೨ ಹಿಂಸೆ
ಅಂಡಲೆ,ಎಸಕಪದ,"(ದೇ) ೧ ಕಾಡು, ಪೀಡಿಸು ೨ ಕಷ್ಟಕ್ಕೆ ಒಳಗು ಮಾಡು"
ಅಂಡು,ಹೆಸರುಪದ,"(ದೇ) ೧ ನಿತಂಬ, ಪಿರ್ರೆ ೨ ಆಸರೆ ೩ ಅಡಿ, ತಳಭಾಗ."
ಅಂಡು,ಎಸಕಪದ,(ದೇ) ಹತ್ತಿರ ಹೋಗು
ಅಂಡೆ,ಹೆಸರುಪದ,(ದೇ) ೧ ಟೊಳ್ಳಾದ ಬಿದಿರಿನ ಪಾತ್ರೆ ೨ ಬಿದಿರಿನಿಂದ ಮಾಡಿದ ಜೀರ್ಕೊಳವೆ
ಅಂತ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಕೊನೆ, ತುದಿ ೨ ಅಂಚು ೩ ಮುಗಿವು ೪ ಕೊನೆಗಾಲ, ಸಾವು ೫ ಕೀಳು, ಹೀನ ೬ ಉಳಿಕೆ, ಶೇಷ ೭ ಹತ್ತಿರ, ಸಮೀಪ ೮ ಒಳಗು"
ಅಂತಃಕರಣ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಮನಸ್ಸು ೨ ಚಿತ್ತವೃತ್ತಿ ೩ ದಯೆ, ಕನಿಕರ"
ಅಂತಃಕಲಹ,ಹೆಸರುಪದ,(ಸಂ) ಒಳಜಗಳ
ಅಂತಃಪಟ,ಹೆಸರುಪದ,(ಸಂ) ಮದುವೆಯಲ್ಲಿ ವಧೂವರರ ನಡುವೆ ಅಡ್ಡಲಾಗಿ ಹಿಡಿಯುವ ವಸ್ತ್ರ
ಅಂತಃಪುರ,ಹೆಸರುಪದ,"(ಸಂ) ರಾಣಿವಾಸ, ಜನಾನಾ"
ಅಂತಃಸ್ಥ,ಹೆಸರುಪದ,(ಸಂ) ಮನಸ್ಸಿನೊಳಗಿನ ಅಭಿಪ್ರಾಯ
