word,wordtype,origin,meaning_number,meaning
ಕುಸುರಿ,ಹೆಸರುಪದ,ದೇ ,5,ತುಂಡು
ಕುಸುರಿ,ಹೆಸರುಪದ,ದೇ ,6,ಎಂಜಲು
ಕುಸುರಿ,ಹೆಸರುಪದ,ದೇ ,7,ಎಳೆಯ ಕಾಯಿ
ಕುಸುರಿ,ಹೆಸರುಪದ,ದೇ ,8,"ಹಣ್ಣುಕಾಯಿಗಳ ಮೃದುವಾದ - ಭಾಗ, ತಿರುಳು"
ಕುಸುರಿ,ಹೆಸರುಪದ,ದೇ ,9,ತೆಂಗಿನ ತುರಿ
ಕುಸೃತಿ,ಹೆಸರುಪದ,ಸಂ ,1,ವಂಚನೆ
ಕುಸೃತಿ,ಹೆಸರುಪದ,ಸಂ ,2,ಕೆಟ್ಟನಡತೆ
ಕುಸೃತಿ,ಹೆಸರುಪದ,ಸಂ ,3,ಇಂದ್ರಜಾಲ
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,1,"ಸಮಾಧಾನಪಡಿಸು, ಸಂತೈಸು"
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,2,"ಉಪಚರಿಸು, ಆದರಿಸು"
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,3,ವಿವರಿಸು
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,4,ನಿವಾರಿಸು
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,5,"ಅಲುಗಿಸು, ಕದಲಿಸು"
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,6,ತೃಪ್ತಿಪಡಿಸು
ಕುಸ್ತರಿಸು,ಎಸಕಪದ,ದೇ ,7,ಕುಳ್ಳಿರಿಸು
ಕುಹಕ,ಹೆಸರುಪದ,ಸಂ ,1,"ಮೋಸ, ವಂಚನೆ"
ಕುಹಕ,ಹೆಸರುಪದ,ಸಂ ,2,"ಮಾಟ, ಇಂದ್ರಜಾಲ"
ಕುಹಕ,ಹೆಸರುಪದ,ಸಂ ,3,"ಮೋಸಗಾರ, ಕಪಟಿ"
ಕುಹರ,ಹೆಸರುಪದ,ಸಂ ,1,"ಗವಿ, ಗುಹೆ"
ಕುಹರ,ಹೆಸರುಪದ,ಸಂ ,2,"ತೂತು, ರಂಧ್ರ"
ಕುಹು,ಹೆಸರುಪದ,ಸಂ ,1,ಅಮಾವಾಸ್ಯೆ
ಕುಹು,ಹೆಸರುಪದ,ಸಂ ,2,ದೇಹದಲ್ಲಿರುವ ಮುಖ್ಯನಾಡಿಗಳಲ್ಲಿ ಒಂದು
ಕುಹು,ಹೆಸರುಪದ,ಸಂ ,3,ಕೋಗಿಲೆಯ ಶಬ್ದ
ಕೂಂಕು,ಹೆಸರುಪದ,ದೇ ,1,"ಮೇಲಕ್ಕೆ ಹಾರು, ನೆಗೆ"
ಕೂಂಕು,ಹೆಸರುಪದ,ದೇ ,2,"ತಳ್ಳು, ದೂಡು"
ಕೂಂಕು,ಹೆಸರುಪದ,ದೇ ,3,"ತಿರಸ್ಕರಿಸು, ಕಳೆ"
ಕೂಗು,ಎಸಕಪದ,ದೇ ,1,"ಧ್ವನಿಮಾಡು, ಅರಚು"
ಕೂಗು,ಎಸಕಪದ,ದೇ ,2,ಕರೆ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,1,"ಸೇರಿಕೆ, ಸಂಯೋಗ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,2,"ರಾಶಿ, ಸಮುದಾಯ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,3,"ಸಭೆ, ಸಂಘ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,4,ಸಂಭೋಗ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,5,"ನಾಲ್ಕಾರು ದಾರಿಗಳು ಸೇರುವ ಸ್ಥಳ, ಚೌಕ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,6,"ಜೊತೆ, ಸಂಗ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,7,"ನೆತ್ತಿ, ಶಿಖರ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,8,ಮೋಸ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,9,ಸ್ಥಿರತೆ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,10,೦ ಹಡಗು
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,12,"ನೇಗಿಲಿನ ಭಾಗ, ಕುಳು"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,14,"ಚಿಮ್ಮಟಿಗೆ, ಸುತ್ತಿಗೆ"
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,16,ಕೊಂಬು ಮುರಿದ ಎತ್ತು ಮೊ.ವು
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,18,ಏಲಕ್ಕಿ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,20,ಜಿಂಕೆ ಮೊ.ವನ್ನು ಹಿಡಿಯುವ ಬಲೆ
ಕೂಟ,ಹೆಸರುಪದ,ಸಂ ,22,ಜಾತಕಗಳ ಹೊಂದಿಕೆ
ಕೂಟಸಾಕ್ಷಿ,ಹೆಸರುಪದ,ಸಂ ,1,ಸುಳ್ಳು ಸಾಕ್ಷಿ
ಕೂಟಸಾಕ್ಷಿ,ಹೆಸರುಪದ,ಸಂ ,2,ಸುಳ್ಳು ಸಾಕ್ಷಿ ಹೇಳುವವನು
ಕೂಟಸ್ಥ,ಹೆಸರುಪದ,ಸಂ ,1,ಮನೆತನದ ಮುಖಂಡ
ಕೂಟಸ್ಥ,ಹೆಸರುಪದ,ಸಂ ,2,"ಚಿತ್ ಸ್ವರೂಪದಲ್ಲಿ ಕೂಡಿಕೊಳ್ಳುವಿಕೆ, ಐಕ್ಯ"
ಕೂಟಸ್ಥ,ಹೆಸರುಪದ,ಸಂ ,3,ಐಕ್ಯ
ಕೂಟೋಪಾಯ,ಹೆಸರುಪದ,ಸಂ ಒಳಸಂಚು; ಸಂ ,1,"ಜೊತೆ, ಕೂಟ"
ಕೂಟೋಪಾಯ,ಹೆಸರುಪದ,ಸಂ ಒಳಸಂಚು; ಸಂ ,2,ಒಂದು ಬಗೆಯ ತೆರಿಗೆ
ಕೂಡ(ಡೆ),ಅವ್ಯಯ,ದೇ ,1,"ಒಡನೆ, ಸಂಗಡ"
ಕೂಡ(ಡೆ),ಅವ್ಯಯ,ದೇ ,2,ಸಹ
ಕೂಡು,ಎಸಕಪದ,ದೇ ,1,ಸೇರು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,2,ಈಡೇರು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,3,ಸಂಭೋಗಿಸು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,4,ಸೇರಿಸು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,5,ಬಂಧಿಸು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,6,"ಒಪ್ಪು, ಶೋಭಿಸು"
ಕೂಡು,ಎಸಕಪದ,ದೇ ,7,ಒಟ್ಟು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,8,ಅಂಕಿಗಳನ್ನು ಮೊತ್ತ ಮಾಡು
ಕೂಡು,ಎಸಕಪದ,ದೇ ,9,ಕುಳ್ಳಿರು
ಕೂಪ,ಹೆಸರುಪದ,ಸಂ ,1,ಬಾವಿ
ಕೂಪ,ಹೆಸರುಪದ,ಸಂ ,2,"ಕೂವೆಯ ಕಂಬ, ಹಡಗಿನ ಸ್ತಂಭ"
ಕೂಪ,ಹೆಸರುಪದ,ಸಂ ,3,"ಹಳ್ಳ, ಗುಳಿ"
ಕೂರಿಗೆ,ಹೆಸರುಪದ,ದೇ ,1,ಹೊಲಗಳಲ್ಲಿ ಬೀಜ ಬಿತ್ತುವ ಉಪಕರಣ
ಕೂರಿಗೆ,ಹೆಸರುಪದ,ದೇ ,2,ಹೊಲವನ್ನು ಅಳೆಯುವ ಒಂದು ಅಳತೆ
ಕೂರೆ,ಹೆಸರುಪದ,ದೇ ,1,ಕೊಳಕಾದ ಬಟ್ಟೆ
ಕೂರೆ,ಹೆಸರುಪದ,ದೇ ,2,ಕೊಳಕಾದ ಬಟ್ಟೆಗಳಲ್ಲಿ ಹುಟ್ಟಿಕೊಳ್ಳುವ ಒಂದು ಜಾತಿಯ ಕ್ರಿಮಿ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,1,"ಕುಚ್ಚು, ಗುಚ್ಛ"
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,2,"ದರ್ಭೆ, ಹುಲ್ಲು"
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,3,ತಲೆ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,4,ಹುಬ್ಬುಗಳ ನಡುವಣ ಸ್ಥಳ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,5,ಗಡ್ಡ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,6,ಮೀಸೆ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,7,ಕುದುರೆ ಯಾ ದನಗಳ ಪಾದದ ಮೇಲ್ಭಾಗ
ಕೂರ್ಚ,ಹೆಸರುಪದ,ಸಂ ,8,"ಪೀಠ, ಆಸನ"
ಕೂರ್ಪರ,ಹೆಸರುಪದ,ಸಂ ,1,ಮೊಳಕೈ
ಕೂರ್ಪರ,ಹೆಸರುಪದ,ಸಂ ,2,ಮೊಣಕಾಲು
ಕೂರ್ಪು,ಹೆಸರುಪದ,ದೇ ,1,ಒಲವು
ಕೂರ್ಪು,ಹೆಸರುಪದ,ದೇ ,2,ತೀಕ್ಷ್ಣತೆ
ಕೂರ್ಪು,ಹೆಸರುಪದ,ದೇ ,3,"ಪರಾಕ್ರಮ, ಶೌರ್‍ಯ"
ಕೂರ್ಪು,ಹೆಸರುಪದ,ದೇ ,4,"ಅತಿಶಯ, ಆಧಿಕ್ಯ"
ಕೂರ್ಮ,ಹೆಸರುಪದ,ಸಂ ,1,ಆಮೆ
ಕೂರ್ಮ,ಹೆಸರುಪದ,ಸಂ ,2,ವಿಷ್ಣುವಿನ ಹತ್ತು ಅವತಾರಗಳಲ್ಲಿ ಎರಡನೆಯದು
ಕೂರ್ಮ,ಹೆಸರುಪದ,ಸಂ ,3,ಒಂದು ಬಗೆಯ ಹಸ್ತ ಮುದ್ರೆ
ಕೂಲ,ಹೆಸರುಪದ,ಸಂ ,1,"ದಡ, ತಟ"
ಕೂಲ,ಹೆಸರುಪದ,ಸಂ ,2,"ರಾಶಿ, ಮೊತ್ತ"
ಕೂಲಂಕಷ,ಪರಿಚೆಪದ,ಸಂ ,1,"ದಡವನ್ನು - ಉಜ್ಜುವ, ಕೊರೆಯುವ"
ಕೂಲಂಕಷ,ಪರಿಚೆಪದ,ಸಂ ,2,ಸಮಗ್ರವಾದ
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,1,ದುಡಿಮೆಗಾಗಿ ಕೊಡುವ ಪ್ರತಿ ಫಲ
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,2,ಕೂಲಿಯಾಳು
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,3,"ಜೀತ, ದುಡಿತ"
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,4,"ಗಳಿಕೆ, ಸಂಪಾದನೆ"
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,5,ಬಾಡಿಗೆ
ಕೂಲಿ,ಹೆಸರುಪದ,ದೇ ,6,ಒಂದು ಬಗೆಯ ಸಸ್ಯ
ಕೂಳು,ಹೆಸರುಪದ,ದೇ ,1,"ಅನ್ನ, ಓಗರ"
ಕೂಳು,ಹೆಸರುಪದ,ದೇ ,2,ಹೀನಾರ್ಥದಲ್ಲಿ ಆಹಾರ
ಕೂಳು,ಹೆಸರುಪದ,ದೇ ,3,"ಸತ್ತವರಿಗೆ ಹಾಕುವ ಆಹಾರ, ಪಿಂಡ"
ಕೂಳೆ,ಹೆಸರುಪದ,ದೇ ,1,"ಪೈರನ್ನು ಕೊಯ್ದ ಬಳಿಕ ತಳದಲ್ಲಿ ಉಳಿಯುವ ಮೋಟು, ತುಂಡು ಕೋಲಿ"
ಕೂಳೆ,ಹೆಸರುಪದ,ದೇ ,2,ಕೂಳೆಯ ಭಾಗದಲ್ಲಿ ಹುಟ್ಟಿದ ಹೊಸ ಮೊಳಕೆ
ಕೂಳೆ,ಹೆಸರುಪದ,ದೇ ,3,"ಕೀಳು ಹೆಂಗಸು, ದುಷ್ಟೆ"
ಕೂಸು,ಹೆಸರುಪದ,ದೇ ,1,"ಮಗು, ಹಸುಳೆ"
ಕೂಸು,ಹೆಸರುಪದ,ದೇ ,2,"ಮದುವೆ ಯಾಗದ ಹೆಣ್ಣು, ಕನ್ಯೆ"
ಕೂಸು,ಹೆಸರುಪದ,ದೇ ,3,"ಹುಡುಗ, ಬಾಲಕ"
ಕೂಸು,ಹೆಸರುಪದ,ದೇ ,4,"ಶಿಷ್ಯ, ವಿದ್ಯಾರ್ಥಿ"
ಕೃಂತ,ಹೆಸರುಪದ,ಸಂ ,1,ಕತ್ತರಿಸುವುದು
ಕೃಂತ,ಹೆಸರುಪದ,ಸಂ ,2,ಕತ್ತರಿಸುವ ಸಲಕರಣೆ
ಕೃಕರ,ಹೆಸರುಪದ,ಸಂ ,1,"ಒಂದು ಬಗೆಯ ಪಕ್ಷಿ, ಕಬ್ಬಕ್ಕಿ"
ಕೃಕರ,ಹೆಸರುಪದ,ಸಂ ,2,ದೇಹದ ಪಂಚವಾಯುಗಳಲ್ಲಿ ಒಂದು
ಕೃಕವಾಕು,ಹೆಸರುಪದ,ಸಂ ,1,"ಕೋಳಿ, ಕುಕ್ಕುಟ"
ಕೃಕವಾಕು,ಹೆಸರುಪದ,ಸಂ ,2,ನವಿಲು
ಕೃಕವಾಕು,ಹೆಸರುಪದ,ಸಂ ,3,ಓತಿಕೇತ
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,1,"ಪ್ರಯಾಸ, ಶ್ರಮ"
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,2,ಅಪಾಯ
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,3,ದುಃಖ
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,4,ಆಹಾರ ಸೇವನೆಯಲ್ಲಿ ಒಂದು ವ್ರತ
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,5,"ಪಾಪದ ಪರಿಹಾರಕ್ಕಾಗಿ ದಾನಕೊಡುವ ಪ್ರಾಯ ಶ್ಚಿತ್ತ - ಧನ, ದಕ್ಷಿಣೆ"
ಕೃಚ್ಛ್ರ,ಹೆಸರುಪದ,ಸಂ ,6,ಮೂತ್ರ ತಡೆಯುವ ಒಂದು ರೋಗ
