word,wordtype,origin,meaning_number,meaning
ಅಕ್ಕಿ,noun,ದೇ ,1,ಬತ್ತದ ಹೊಟ್ಟು ತೆಗೆದ ಮೇಲೆ ಉಳಿಯುವ ಕಾಳು
ಅಕ್ಷ,noun,ಸಂ ,1,ಪಗಡೆ ಆಟದ ದಾಳ
ಅಕ್ಷತ(ತೆ),noun,<ಸಂ. ಅಕ್ಷತಾ ,1,ಮೊನೆ ಮುರಿಯದ ಅಕ್ಕಿ
ಅಕ್ಷಯ,noun,ಸಂ ,1,"ಕ್ಷಯವಿಲ್ಲದುದು, ಬರಿದಾ ಗದುದು"
ಅಕ್ಷರ,noun,ಸಂ ,1,ಅಕಾರ ಮೊದಲಾದ ವರ್ಣ
ಅಕ್ಷಿ,noun,ಸಂ ,1,ಕಣ್ಣು
ಅಕ್ಷೋ(ಕ್ಷೌ)ಹಿಣಿ,noun,ಸಂ ,2,","
ಅಗ,noun,ಸಂ ,1,ಬೆಟ್ಟ
ಅಗಣಿ(ಳಿ),noun,ದೇ ,1,ಚಿಲುಕ
ಅಗಣಿತ,noun,ಸಂ ,1,ಸҾಮರ್ಥ್ಯದಲ್ಲಿ ಎಣಿಕೆಗೆ ಮೀರಿದವನು
ಅಗತ್ಯ,noun,ದೇ ,1,ಆವಶ್ಯಕತೆ
ಅಗಸೆ,noun,ದೇ ,1,"ಊರ ಹೆಬ್ಬಾಗಿಲು, ಮಹಾದ್ವಾರ"
ಅಗಾಡಿ,noun,ಹಿಂ ,1,ಮುಂಭಾಗ
ಅಗಿಲ್(ಲು),noun,ದೇ ,1,ಒಂದು ಬಗೆಯ ಸುಗಂಧದ ಮರ
ಅಗುಂತಿ,noun,ದೇ ,1,ಹೆಚ್ಚಳ
ಅಗುರ್ಬು(ರ್ವು),noun,ದೇ ,1,ಭಯಂಕರತೆ
ಅಗೆ,noun,ದೇ ,1,"ಮೊಳಕೆ, ಅಂಕುರ"
ಅಗ್ಗ,noun,<ಸಂ. ಅರ್ಘ ,1,"ಕಡಿಮೆ ಬೆಲೆ, ಇಳಿತಾಯದ ಬೆಲೆ"
ಅಗ್ಗಳಿಕೆ,noun,ದೇ ,1,"ದೊಡ್ಡಸ್ತಿಕೆ, ಶ್ರೇಷ್ಠತೆ"
ಅಗ್ನಿ,noun,ಸಂ ,1,ಬೆಂಕಿ
ಅಗ್ನಿಮೂಲೆ,noun,ಸಂ ,1,"ಪೂರ್ವಕ್ಕೂ, ದಕ್ಷಿಣಕ್ಕೂ ನಡುವಣ ಮೂಲೆ, ಆಗ್ನೇಯ ದಿಕ್ಕು"
ಅಗ್ರ,noun,ಸಂ ,1,"ತುದಿ, ಮೊನೆ"
ಅಗ್ರಹಾರ,noun,ಸಂ ,1,"ರಾಜರು ಮೊ.ವರು ಬ್ರಾಹ್ಮಣರ ಪೋಷಣೆಗಾಗಿ ದಾನ ಕೊಟ್ಟ ಪ್ರದೇಶ, ಗ್ರಾಮ"
ಅಘ,noun,ಸಂ ,1,ಪಾಪ
ಅಚಲ,noun,ಸಂ ,1,ಚಲಿಸದುದು
ಅಚಾತುರ್ಯ,noun,ಸಂ ,1,ದಡ್ಡತನ
ಅಚ್ಚಿಗ,noun,ದೇ ,1,ತೀವ್ರವಾದ ವ್ಯಥೆ
